2019-06-04	12:11
B=-2.5
 Prad (A)	U 4-5 (V)	Napiecie (V)
1.6787E-4	7.2429E-7	-0.0000E+0
1.2298E-2	6.9612E-7	-0.0000E+0
2.4803E-2	1.0849E-6	-2.0000E-2
3.8301E-2	1.0511E-6	-3.0000E-2
5.2472E-2	1.1015E-7	-3.0000E-2
6.6655E-2	9.8344E-7	-4.0000E-2
8.1367E-2	2.5663E-7	-6.0000E-2
9.6661E-2	8.5386E-7	-7.0000E-2
1.1181E-1	-1.2086E-7	-7.0000E-2
1.2751E-1	-2.2227E-7	-9.0000E-2
1.4413E-1	-9.8317E-8	-1.0000E-1
1.6088E-1	8.6515E-7	-1.0000E-1
1.7753E-1	-2.2226E-7	-1.2000E-1
1.9416E-1	6.4541E-7	-1.3000E-1
2.1096E-1	7.9754E-7	-1.3000E-1
2.2820E-1	3.4680E-7	-1.4000E-1
2.4527E-1	-2.8424E-7	-1.6000E-1
2.6313E-1	8.6514E-7	-1.6000E-1
2.8088E-1	-8.1415E-8	-1.8000E-1
2.9872E-1	7.0175E-7	-1.9000E-1
3.1710E-1	-1.7157E-7	-2.0000E-1
3.3543E-1	8.7603E-8	-2.1000E-1
3.5361E-1	1.3267E-7	-2.2000E-1
3.7279E-1	-1.8285E-7	-2.3000E-1
3.9188E-1	2.5623E-8	-2.4000E-1
4.1118E-1	1.7666E-6	-2.5000E-1
4.3026E-1	-4.6455E-7	-2.6000E-1
4.4969E-1	7.6341E-8	-2.7000E-1
4.6898E-1	2.0030E-7	-2.8000E-1
4.8848E-1	-1.1522E-7	-2.9000E-1
5.0832E-1	1.4173E-6	-3.0000E-1
5.2767E-1	1.1807E-6	-3.1000E-1
5.4702E-1	4.0314E-7	-3.2000E-1
5.6720E-1	1.5863E-6	-3.3000E-1
5.8679E-1	7.8625E-7	-3.4000E-1
6.0635E-1	1.9356E-6	-3.5000E-1
6.2659E-1	1.1187E-6	-3.6000E-1
6.4625E-1	1.4624E-6	-3.7000E-1
6.6593E-1	2.0821E-6	-3.8000E-1
6.8605E-1	1.7159E-6	-3.9000E-1
7.0585E-1	2.5104E-6	-4.0000E-1
7.2550E-1	3.2203E-6	-4.1000E-1
7.4526E-1	3.3555E-6	-4.2000E-1
7.6531E-1	3.1864E-6	-4.3000E-1
7.8537E-1	4.0710E-6	-4.4000E-1
8.0532E-1	5.1584E-6	-4.5000E-1
8.2571E-1	5.7162E-6	-4.6000E-1
8.4563E-1	6.9050E-6	-4.7000E-1
8.6562E-1	7.0064E-6	-4.8000E-1
8.8565E-1	8.6686E-6	-4.9000E-1
9.0523E-1	9.7334E-6	-5.0000E-1
9.2519E-1	9.5137E-6	-5.1000E-1
9.4536E-1	1.1181E-5	-5.2000E-1
9.6520E-1	1.2049E-5	-5.3000E-1
9.8516E-1	1.3891E-5	-5.5000E-1
9.9958E-1	1.3159E-5	-5.5000E-1
9.9958E-1	1.3784E-5	-5.5000E-1
9.9958E-1	1.3762E-5	-5.5000E-1
9.9958E-1	1.4010E-5	-5.5000E-1
9.9957E-1	1.4106E-5	-5.5000E-1
9.9958E-1	1.4754E-5	-5.5000E-1
9.9957E-1	1.4754E-5	-5.5000E-1
9.9958E-1	1.4213E-5	-5.5000E-1
9.9959E-1	1.3418E-5	-5.5000E-1
9.9958E-1	1.4506E-5	-5.5000E-1
9.9958E-1	1.5092E-5	-5.5000E-1
9.9960E-1	1.4410E-5	-5.4000E-1
9.9957E-1	1.4252E-5	-5.4000E-1
9.9959E-1	1.3576E-5	-5.4000E-1
9.9957E-1	1.4038E-5	-5.5000E-1
9.9958E-1	1.3993E-5	-5.4000E-1
-2.9701E-4	1.4396E-7	0.0000E+0
-2.0875E-2	1.5523E-7	0.0000E+0
-4.0270E-2	2.1156E-7	2.0000E-2
-6.0086E-2	-7.4062E-7	3.0000E-2
-8.0565E-2	1.3268E-7	3.0000E-2
-1.0014E-1	6.5065E-8	5.0000E-2
-1.2009E-1	8.8767E-7	6.0000E-2
-1.4056E-1	-1.4340E-7	7.0000E-2
-1.6023E-1	-5.9977E-7	8.0000E-2
-1.8019E-1	-1.1523E-7	9.0000E-2
-2.0000E-1	-1.0960E-7	1.0000E-1
-2.1984E-1	-1.9973E-7	1.1000E-1
-2.4002E-1	2.5663E-7	1.2000E-1
-2.5958E-1	5.4960E-7	1.3000E-1
-2.7970E-1	2.5662E-7	1.4000E-1
-2.9960E-1	-1.2086E-7	1.5000E-1
-3.1916E-1	-1.4340E-7	1.6000E-1
-3.3938E-1	-3.6877E-7	1.7000E-1
-3.5944E-1	8.0878E-7	1.8000E-1
-3.7905E-1	-4.2510E-7	1.9000E-1
-3.9949E-1	-3.1241E-7	2.0000E-1
-4.1930E-1	-5.8850E-7	2.1000E-1
-4.3903E-1	2.7917E-7	2.2000E-1
-4.5918E-1	-4.8708E-7	2.3000E-1
-4.7912E-1	8.1976E-8	2.4000E-1
-4.9864E-1	-1.4340E-7	2.5000E-1
-5.1845E-1	4.8160E-8	2.6000E-1
-5.3869E-1	-5.3216E-7	2.7000E-1
-5.5806E-1	-7.4062E-7	2.8000E-1
-5.7814E-1	-6.4483E-7	2.9000E-1
-5.9837E-1	-7.4062E-7	3.1000E-1
-6.1766E-1	-7.1245E-7	3.1000E-1
-6.3771E-1	-1.4111E-6	3.2000E-1
-6.5784E-1	-2.3858E-6	3.3000E-1
-6.7738E-1	-2.5041E-6	3.4000E-1
-6.9737E-1	-2.0590E-6	3.5000E-1
-7.1737E-1	-2.5999E-6	3.6000E-1
-7.3703E-1	-3.9071E-6	3.7000E-1
-7.5683E-1	-3.1577E-6	3.8000E-1
-7.7676E-1	-4.9269E-6	3.9000E-1
-7.9642E-1	-4.7860E-6	4.0000E-1
-8.1622E-1	-4.7578E-6	4.1000E-1
-8.3556E-1	-5.7213E-6	4.2000E-1
-8.5589E-1	-6.7974E-6	4.3000E-1
-8.7557E-1	-7.1298E-6	4.4000E-1
-8.9514E-1	-8.7243E-6	4.5000E-1
-9.1532E-1	-9.6145E-6	4.6000E-1
-9.3493E-1	-9.7667E-6	4.7000E-1
-9.5460E-1	-1.0995E-5	4.8000E-1
-9.7459E-1	-1.2105E-5	4.9000E-1
-9.9420E-1	-1.3756E-5	5.0000E-1
-9.9958E-1	-1.4680E-5	5.1000E-1
-9.9958E-1	-1.3626E-5	5.1000E-1
-9.9958E-1	-1.2984E-5	5.1000E-1
-9.9957E-1	-1.4545E-5	5.1000E-1
-9.9958E-1	-1.4364E-5	5.1000E-1
-9.9956E-1	-1.4302E-5	5.1000E-1
-9.9959E-1	-1.3913E-5	5.1000E-1
-9.9957E-1	-1.4088E-5	5.1000E-1
-9.9958E-1	-1.3947E-5	5.1000E-1
-9.9961E-1	-1.3609E-5	5.1000E-1
