2019-06-04	12:14
B=-0.75T
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.6557E-4	6.0032E-7	-0.0000E+0
1.7351E-2	-1.8284E-7	-1.0000E-2
3.4676E-2	5.4961E-7	-1.0000E-2
5.1980E-2	-6.7301E-7	-3.0000E-2
6.9912E-2	1.5525E-6	-4.0000E-2
8.7875E-2	2.5610E-6	-5.0000E-2
1.0564E-1	3.1977E-6	-6.0000E-2
1.2435E-1	4.6400E-6	-7.0000E-2
1.4250E-1	5.7725E-6	-8.0000E-2
1.6081E-1	7.0008E-6	-9.0000E-2
1.7924E-1	9.7954E-6	-1.0000E-1
1.9811E-1	1.0933E-5	-1.1000E-1
2.1685E-1	1.3587E-5	-1.1000E-1
2.3535E-1	1.5153E-5	-1.3000E-1
2.5450E-1	1.7351E-5	-1.4000E-1
2.7322E-1	2.0557E-5	-1.5000E-1
2.9211E-1	2.4889E-5	-1.6000E-1
3.1149E-1	2.7228E-5	-1.7000E-1
3.3046E-1	3.0772E-5	-1.8000E-1
3.4934E-1	3.2856E-5	-1.9000E-1
3.6893E-1	3.8474E-5	-2.0000E-1
3.8807E-1	4.0829E-5	-2.1000E-1
4.0674E-1	4.5060E-5	-2.2000E-1
4.2672E-1	4.9956E-5	-2.3000E-1
4.4591E-1	5.4486E-5	-2.4000E-1
4.6486E-1	5.9044E-5	-2.5000E-1
4.8432E-1	6.3636E-5	-2.6000E-1
5.0386E-1	7.0775E-5	-2.7000E-1
5.2328E-1	7.5102E-5	-2.8000E-1
5.4276E-1	8.2150E-5	-2.9000E-1
5.6227E-1	8.6455E-5	-3.0000E-1
5.8172E-1	9.3858E-5	-3.1000E-1
6.0129E-1	9.9757E-5	-3.2000E-1
6.2086E-1	1.0550E-4	-3.3000E-1
6.4065E-1	1.1190E-4	-3.4000E-1
6.5982E-1	1.1882E-4	-3.5000E-1
6.8000E-1	1.2614E-4	-3.6000E-1
6.9948E-1	1.3186E-4	-3.7000E-1
7.1899E-1	1.4014E-4	-3.8000E-1
7.3911E-1	1.4730E-4	-3.9000E-1
7.5849E-1	1.5513E-4	-4.0000E-1
7.7830E-1	1.6076E-4	-4.1000E-1
7.9806E-1	1.7034E-4	-4.2000E-1
8.1797E-1	1.7801E-4	-4.3000E-1
8.3754E-1	1.8721E-4	-4.4000E-1
8.5729E-1	1.9598E-4	-4.5000E-1
8.7732E-1	2.0514E-4	-4.6000E-1
8.9719E-1	2.1275E-4	-4.7000E-1
9.1691E-1	2.2171E-4	-4.8000E-1
9.3692E-1	2.3014E-4	-4.9000E-1
9.5676E-1	2.4111E-4	-5.1000E-1
9.7664E-1	2.4895E-4	-5.2000E-1
9.9652E-1	2.6023E-4	-5.2000E-1
9.9956E-1	2.6087E-4	-5.3000E-1
9.9958E-1	2.5952E-4	-5.2000E-1
9.9955E-1	2.5984E-4	-5.2000E-1
9.9956E-1	2.6145E-4	-5.3000E-1
9.9955E-1	2.6152E-4	-5.3000E-1
9.9955E-1	2.6135E-4	-5.2000E-1
9.9956E-1	2.6037E-4	-5.2000E-1
9.9956E-1	2.5972E-4	-5.2000E-1
9.9955E-1	2.6029E-4	-5.2000E-1
9.9956E-1	2.6207E-4	-5.2000E-1
9.9958E-1	2.6045E-4	-5.2000E-1
9.9956E-1	2.5988E-4	-5.2000E-1
9.9957E-1	2.6004E-4	-5.2000E-1
9.9956E-1	2.6120E-4	-5.2000E-1
9.9955E-1	2.6147E-4	-5.2000E-1
9.9956E-1	2.6002E-4	-5.2000E-1
9.9957E-1	2.5960E-4	-5.2000E-1
9.9955E-1	2.6022E-4	-5.2000E-1
-5.5139E-4	6.9047E-7	0.0000E+0
-2.1384E-2	1.9638E-6	1.0000E-2
-4.1546E-2	4.6511E-7	2.0000E-2
-6.2067E-2	-1.2308E-6	2.0000E-2
-8.2584E-2	-1.7717E-6	4.0000E-2
-1.0320E-1	-2.9718E-6	5.0000E-2
-1.2376E-1	-4.3634E-6	5.0000E-2
-1.4443E-1	-5.4903E-6	7.0000E-2
-1.6485E-1	-6.7073E-6	8.0000E-2
-1.8548E-1	-9.1469E-6	9.0000E-2
-2.0552E-1	-1.0488E-5	1.0000E-1
-2.2647E-1	-1.3389E-5	1.1000E-1
-2.4666E-1	-1.6505E-5	1.2000E-1
-2.6720E-1	-1.8370E-5	1.3000E-1
-2.8782E-1	-2.1531E-5	1.4000E-1
-3.0816E-1	-2.5199E-5	1.5000E-1
-3.2857E-1	-3.0619E-5	1.6000E-1
