2019-06-04	12:01
B=-15
 Prad (A)	U 4-5 (V)	Napiecie (V)
1.5097E-4	2.3019E-6	-0.0000E+0
3.0132E-2	1.0393E-5	-1.0000E-2
6.1121E-2	2.5475E-5	-4.0000E-2
9.2502E-2	4.2113E-5	-6.0000E-2
1.2502E-1	6.0994E-5	-7.0000E-2
1.5775E-1	7.9992E-5	-1.0000E-1
1.9136E-1	1.0138E-4	-1.2000E-1
2.2541E-1	1.2624E-4	-1.4000E-1
2.5997E-1	1.5415E-4	-1.5000E-1
2.9614E-1	1.7844E-4	-1.8000E-1
3.3240E-1	2.0869E-4	-2.0000E-1
3.6892E-1	2.3543E-4	-2.1000E-1
4.0635E-1	2.6549E-4	-2.4000E-1
4.4426E-1	2.9805E-4	-2.6000E-1
4.8340E-1	3.3364E-4	-2.7000E-1
5.2269E-1	3.6835E-4	-3.0000E-1
5.6227E-1	4.0356E-4	-3.2000E-1
6.0257E-1	4.4022E-4	-3.4000E-1
6.4286E-1	4.8055E-4	-3.5000E-1
6.8295E-1	5.1787E-4	-3.8000E-1
7.2331E-1	5.5543E-4	-4.0000E-1
7.6389E-1	5.9434E-4	-4.1000E-1
8.0470E-1	6.4077E-4	-4.4000E-1
8.4546E-1	6.8153E-4	-4.7000E-1
8.8594E-1	7.2379E-4	-4.8000E-1
9.2622E-1	7.6512E-4	-5.0000E-1
9.6690E-1	8.1014E-4	-5.2000E-1
9.9957E-1	8.4600E-4	-5.3000E-1
9.9958E-1	8.4221E-4	-5.4000E-1
9.9956E-1	8.4370E-4	-5.4000E-1
9.9955E-1	8.4392E-4	-5.4000E-1
-3.3211E-4	-2.0536E-7	0.0000E+0
-4.1901E-2	-1.5339E-5	2.0000E-2
-8.3374E-2	-3.6879E-5	4.0000E-2
-1.2440E-1	-6.0199E-5	5.0000E-2
-1.6612E-1	-8.6821E-5	8.0000E-2
-2.0690E-1	-1.1130E-4	1.0000E-1
-2.4838E-1	-1.4335E-4	1.1000E-1
-2.8988E-1	-1.7329E-4	1.4000E-1
-3.3078E-1	-2.0360E-4	1.6000E-1
-3.7238E-1	-2.3781E-4	1.7000E-1
-4.1388E-1	-2.7339E-4	1.9000E-1
-4.5487E-1	-3.0653E-4	2.2000E-1
-4.9639E-1	-3.4231E-4	2.4000E-1
-5.3724E-1	-3.8104E-4	2.5000E-1
-5.7884E-1	-4.1766E-4	2.8000E-1
-6.1995E-1	-4.5341E-4	3.0000E-1
-6.6100E-1	-4.9597E-4	3.2000E-1
-7.0235E-1	-5.3310E-4	3.4000E-1
-7.4372E-1	-5.7461E-4	3.6000E-1
-7.8468E-1	-6.1719E-4	3.7000E-1
-8.2590E-1	-6.6033E-4	4.0000E-1
-8.6682E-1	-7.0190E-4	4.3000E-1
-9.0808E-1	-7.4652E-4	4.4000E-1
-9.4958E-1	-7.9318E-4	4.6000E-1
-9.9043E-1	-8.3719E-4	4.8000E-1
-9.9958E-1	-8.4044E-4	4.9000E-1
-9.9957E-1	-8.4242E-4	4.9000E-1
-9.9954E-1	-8.4369E-4	4.9000E-1
-9.9956E-1	-8.4590E-4	4.9000E-1
-9.9956E-1	-8.4484E-4	4.9000E-1
-9.9956E-1	-8.4223E-4	4.9000E-1
