2019-06-04	12:18
B=-1.25T
 Prad (A)	U 4-5 (V)	Napiecie (V)
1.9717E-4	-1.8337E-6	-0.0000E+0
2.5793E-2	5.5979E-6	-1.0000E-2
5.2927E-2	1.2291E-5	-4.0000E-2
8.1169E-2	2.0985E-5	-6.0000E-2
1.1047E-1	3.1172E-5	-7.0000E-2
1.4056E-1	4.5302E-5	-1.0000E-1
1.7205E-1	5.7630E-5	-1.2000E-1
2.0386E-1	7.2910E-5	-1.3000E-1
2.3661E-1	8.8303E-5	-1.6000E-1
2.7021E-1	1.0475E-4	-1.8000E-1
3.0461E-1	1.2443E-4	-2.0000E-1
3.3949E-1	1.4618E-4	-2.1000E-1
3.7558E-1	1.6839E-4	-2.4000E-1
4.1211E-1	1.9132E-4	-2.6000E-1
4.4974E-1	2.1839E-4	-2.7000E-1
4.8856E-1	2.4247E-4	-3.0000E-1
5.2749E-1	2.6891E-4	-3.2000E-1
5.6729E-1	2.9729E-4	-3.3000E-1
6.0764E-1	3.2736E-4	-3.6000E-1
6.4783E-1	3.5578E-4	-3.8000E-1
6.8879E-1	3.8849E-4	-3.9000E-1
7.2916E-1	4.2031E-4	-4.2000E-1
7.7010E-1	4.5374E-4	-4.4000E-1
8.1123E-1	4.8789E-4	-4.6000E-1
8.5178E-1	5.2238E-4	-4.8000E-1
8.9281E-1	5.5909E-4	-5.0000E-1
9.3444E-1	5.9219E-4	-5.2000E-1
9.7513E-1	6.2968E-4	-5.4000E-1
9.9958E-1	6.5224E-4	-5.5000E-1
9.9960E-1	6.5391E-4	-5.5000E-1
9.9958E-1	6.5418E-4	-5.5000E-1
9.9956E-1	6.5219E-4	-5.5000E-1
9.9958E-1	6.5272E-4	-5.5000E-1
9.9956E-1	6.5108E-4	-5.5000E-1
9.9956E-1	6.4885E-4	-5.4000E-1
9.9956E-1	6.5161E-4	-5.5000E-1
9.9956E-1	6.5148E-4	-5.4000E-1
9.9957E-1	6.4880E-4	-5.4000E-1
9.9955E-1	6.5040E-4	-5.4000E-1
9.9956E-1	6.4767E-4	-5.4000E-1
9.9956E-1	6.4845E-4	-5.4000E-1
-3.6591E-4	-4.7018E-7	0.0000E+0
-4.1730E-2	-8.3919E-6	2.0000E-2
-8.2971E-2	-2.1458E-5	4.0000E-2
-1.2387E-1	-3.6743E-5	5.0000E-2
-1.6498E-1	-5.4666E-5	8.0000E-2
-2.0598E-1	-7.2200E-5	1.0000E-1
-2.4726E-1	-9.3137E-5	1.1000E-1
-2.8823E-1	-1.1545E-4	1.4000E-1
-3.2919E-1	-1.3943E-4	1.6000E-1
-3.7034E-1	-1.6425E-4	1.8000E-1
-4.1176E-1	-1.8884E-4	1.9000E-1
-4.5263E-1	-2.1527E-4	2.2000E-1
-4.9385E-1	-2.4217E-4	2.4000E-1
-5.3457E-1	-2.7173E-4	2.5000E-1
-5.7553E-1	-3.0156E-4	2.8000E-1
-6.1709E-1	-3.3236E-4	3.0000E-1
-6.5746E-1	-3.6329E-4	3.1000E-1
-6.9900E-1	-3.9569E-4	3.4000E-1
-7.4039E-1	-4.2764E-4	3.7000E-1
-7.8092E-1	-4.6127E-4	3.8000E-1
-8.2214E-1	-4.9703E-4	4.0000E-1
-8.6312E-1	-5.3042E-4	4.2000E-1
-9.0412E-1	-5.6942E-4	4.4000E-1
-9.4536E-1	-6.0453E-4	4.6000E-1
-9.8611E-1	-6.3982E-4	4.8000E-1
-9.9958E-1	-6.5248E-4	4.9000E-1
-9.9954E-1	-6.5373E-4	4.9000E-1
-9.9958E-1	-6.5220E-4	4.9000E-1
-9.9957E-1	-6.5089E-4	4.9000E-1
-9.9956E-1	-6.5292E-4	4.9000E-1
-9.9957E-1	-6.5314E-4	4.9000E-1
-9.9956E-1	-6.4961E-4	4.9000E-1
-9.9956E-1	-6.4918E-4	4.9000E-1
-9.9958E-1	-6.5500E-4	4.9000E-1
-9.9956E-1	-6.5012E-4	4.9000E-1
-9.9956E-1	-6.4963E-4	4.9000E-1
-9.9959E-1	-6.5207E-4	4.9000E-1
-9.9957E-1	-6.5199E-4	4.9000E-1
-9.9957E-1	-6.5498E-4	4.9000E-1
-9.9955E-1	-6.5415E-4	4.9000E-1
-9.9956E-1	-6.5487E-4	4.9000E-1
