2019-06-04	11:53
B=15
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.0760E-4	6.1724E-7	-0.0000E+0
2.4661E-2	9.3165E-6	-2.0000E-2
5.0800E-2	1.9971E-5	-3.0000E-2
7.7818E-2	3.4901E-5	-6.0000E-2
1.0600E-1	5.0204E-5	-8.0000E-2
1.3550E-1	6.7388E-5	-9.0000E-2
1.6595E-1	8.6731E-5	-1.1000E-1
1.9712E-1	1.0775E-4	-1.4000E-1
2.2989E-1	1.3046E-4	-1.6000E-1
2.6394E-1	1.5495E-4	-1.7000E-1
2.9990E-1	1.8231E-4	-2.0000E-1
3.3757E-1	2.1275E-4	-2.2000E-1
3.7606E-1	2.4370E-4	-2.4000E-1
4.1522E-1	2.7543E-4	-2.6000E-1
4.5571E-1	3.1108E-4	-2.8000E-1
4.9703E-1	3.4740E-4	-3.0000E-1
5.3851E-1	3.8382E-4	-3.2000E-1
5.7985E-1	4.2336E-4	-3.4000E-1
6.2216E-1	4.6050E-4	-3.6000E-1
6.6376E-1	4.9973E-4	-3.8000E-1
7.0500E-1	5.4082E-4	-4.0000E-1
7.4625E-1	5.8246E-4	-4.2000E-1
7.8810E-1	6.2690E-4	-4.3000E-1
8.3005E-1	6.6893E-4	-4.6000E-1
8.7174E-1	7.0910E-4	-4.8000E-1
9.1324E-1	7.5550E-4	-4.9000E-1
9.5455E-1	7.8808E-4	-5.2000E-1
9.9558E-1	8.2975E-4	-5.5000E-1
9.9958E-1	8.3448E-4	-5.5000E-1
9.9959E-1	8.2971E-4	-5.4000E-1
9.9960E-1	8.3446E-4	-5.4000E-1
-5.8475E-4	5.5526E-7	0.0000E+0
-4.1876E-2	-1.5249E-5	2.0000E-2
-8.3450E-2	-3.6997E-5	4.0000E-2
-1.2453E-1	-6.0148E-5	6.0000E-2
-1.6592E-1	-8.4257E-5	8.0000E-2
-2.0695E-1	-1.1075E-4	1.0000E-1
-2.4854E-1	-1.3750E-4	1.2000E-1
-2.8959E-1	-1.7188E-4	1.4000E-1
-3.3050E-1	-2.0120E-4	1.6000E-1
-3.7212E-1	-2.3543E-4	1.8000E-1
-4.1343E-1	-2.6649E-4	2.0000E-1
-4.5440E-1	-3.0236E-4	2.2000E-1
-4.9570E-1	-3.3873E-4	2.4000E-1
-5.3678E-1	-3.7332E-4	2.5000E-1
-5.7790E-1	-4.1325E-4	2.8000E-1
-6.1965E-1	-4.5108E-4	3.0000E-1
-6.6037E-1	-4.8816E-4	3.1000E-1
-7.0130E-1	-5.2869E-4	3.4000E-1
-7.4328E-1	-5.7092E-4	3.6000E-1
-7.8410E-1	-6.0994E-4	3.8000E-1
-8.2493E-1	-6.5285E-4	4.0000E-1
-8.6621E-1	-6.9277E-4	4.2000E-1
-9.0748E-1	-7.3269E-4	4.4000E-1
-9.4854E-1	-7.7697E-4	4.6000E-1
-9.8955E-1	-8.2264E-4	4.8000E-1
-9.9960E-1	-8.3558E-4	4.9000E-1
-9.9958E-1	-8.3515E-4	4.9000E-1
-9.9958E-1	-8.3493E-4	4.9000E-1
-9.9956E-1	-8.3383E-4	4.9000E-1
-9.9960E-1	-8.3402E-4	4.9000E-1
-9.9957E-1	-8.3687E-4	4.9000E-1
