2019-06-04	11:47
B=5T
 Prad (A)	U 4-5 (V)	Napiecie (V)
1.7999E-4	4.2567E-7	-0.0000E+0
3.1528E-2	4.3130E-7	-2.0000E-2
6.3454E-2	-9.2670E-8	-4.0000E-2
9.5954E-2	-4.0820E-7	-5.0000E-2
1.2952E-1	1.0623E-6	-8.0000E-2
1.6268E-1	2.4538E-7	-1.0000E-1
1.9731E-1	1.1863E-6	-1.1000E-1
2.3202E-1	2.0033E-6	-1.3000E-1
2.6711E-1	2.6963E-6	-1.6000E-1
3.0297E-1	4.2232E-6	-1.8000E-1
3.3906E-1	4.8936E-6	-1.9000E-1
3.7544E-1	6.6402E-6	-2.2000E-1
4.1241E-1	9.0911E-6	-2.4000E-1
4.4951E-1	1.1091E-5	-2.5000E-1
4.8786E-1	1.5283E-5	-2.8000E-1
5.2582E-1	1.9052E-5	-3.0000E-1
5.6428E-1	2.3797E-5	-3.2000E-1
6.0328E-1	2.6681E-5	-3.4000E-1
6.4258E-1	3.3138E-5	-3.6000E-1
6.8229E-1	3.8738E-5	-3.8000E-1
7.2173E-1	4.5347E-5	-3.9000E-1
7.6087E-1	5.1122E-5	-4.2000E-1
8.0096E-1	5.9636E-5	-4.4000E-1
8.4074E-1	6.7450E-5	-4.5000E-1
8.8018E-1	7.5383E-5	-4.8000E-1
9.2042E-1	8.4601E-5	-5.1000E-1
-4.8136E-4	2.7355E-7	0.0000E+0
-4.2068E-2	3.0172E-7	2.0000E-2
-8.3321E-2	1.0736E-6	4.0000E-2
-1.2399E-1	1.5920E-6	5.0000E-2
-1.6590E-1	1.1579E-7	8.0000E-2
-2.0675E-1	-1.7719E-7	1.0000E-1
-2.4790E-1	-1.5238E-6	1.1000E-1
-2.8961E-1	-1.6534E-6	1.4000E-1
-3.3028E-1	-4.4198E-6	1.6000E-1
-3.7198E-1	-6.9270E-6	1.8000E-1
-4.1353E-1	-7.9581E-6	1.9000E-1
-4.5429E-1	-1.1784E-5	2.2000E-1
-4.9598E-1	-1.4606E-5	2.4000E-1
-5.3670E-1	-1.8872E-5	2.6000E-1
-5.7843E-1	-2.3717E-5	2.8000E-1
-6.1985E-1	-2.8253E-5	3.0000E-1
-6.6056E-1	-3.3949E-5	3.1000E-1
-7.0227E-1	-4.1161E-5	3.4000E-1
-7.4343E-1	-4.8288E-5	3.6000E-1
-7.8449E-1	-5.5106E-5	3.7000E-1
-8.2567E-1	-6.3484E-5	4.0000E-1
-8.6666E-1	-7.1946E-5	4.2000E-1
-9.0795E-1	-8.0803E-5	4.4000E-1
-9.4937E-1	-9.1424E-5	4.6000E-1
-9.9056E-1	-1.0170E-4	4.8000E-1
-9.9960E-1	-1.0452E-4	4.9000E-1
-9.9958E-1	-1.0411E-4	4.9000E-1
-9.9958E-1	-1.0450E-4	4.9000E-1
-9.9960E-1	-1.0490E-4	4.9000E-1
-9.9958E-1	-1.0361E-4	4.9000E-1
-9.9955E-1	-1.0360E-4	4.9000E-1
