2019-06-04	11:28
pokojowa, T=-5
 Prad (A)	U 4-5 (V)	Napiecie (V)
9.8912E-5	3.6147E-6	-0.0000E+0
2.6002E-2	7.5528E-4	-2.0000E-2
5.2699E-2	1.5189E-3	-3.0000E-2
7.9366E-2	2.2929E-3	-6.0000E-2
1.0687E-1	3.0876E-3	-8.0000E-2
1.3446E-1	3.8771E-3	-9.0000E-2
1.6241E-1	4.6881E-3	-1.2000E-1
1.9070E-1	5.4992E-3	-1.4000E-1
2.1893E-1	6.3079E-3	-1.5000E-1
2.4762E-1	7.1458E-3	-1.8000E-1
2.7655E-1	7.9743E-3	-2.0000E-1
3.0544E-1	8.8111E-3	-2.2000E-1
3.3451E-1	9.6547E-3	-2.3000E-1
3.6398E-1	1.0497E-2	-2.6000E-1
3.9339E-1	1.1353E-2	-2.8000E-1
4.2349E-1	1.2216E-2	-2.9000E-1
4.5328E-1	1.3067E-2	-3.2000E-1
4.8342E-1	1.3951E-2	-3.4000E-1
5.1398E-1	1.4825E-2	-3.6000E-1
5.4427E-1	1.5698E-2	-3.8000E-1
5.7494E-1	1.6588E-2	-4.0000E-1
6.0569E-1	1.7472E-2	-4.2000E-1
6.3653E-1	1.8357E-2	-4.4000E-1
6.6777E-1	1.9267E-2	-4.6000E-1
6.9864E-1	2.0154E-2	-4.8000E-1
7.3004E-1	2.1061E-2	-5.0000E-1
7.6127E-1	2.1980E-2	-5.2000E-1
7.9306E-1	2.2886E-2	-5.4000E-1
8.2443E-1	2.3805E-2	-5.6000E-1
8.5607E-1	2.4716E-2	-5.8000E-1
8.8815E-1	2.5645E-2	-6.0000E-1
9.2015E-1	2.6574E-2	-6.2000E-1
9.5218E-1	2.7499E-2	-6.4000E-1
9.8410E-1	2.8425E-2	-6.6000E-1
9.9954E-1	2.8861E-2	-6.7000E-1
9.9956E-1	2.8867E-2	-6.7000E-1
-3.3053E-4	-5.8170E-6	0.0000E+0
-3.3445E-2	-9.7000E-4	1.0000E-2
-6.6731E-2	-1.9291E-3	3.0000E-2
-9.9879E-2	-2.8830E-3	6.0000E-2
-1.3318E-1	-3.8416E-3	7.0000E-2
-1.6620E-1	-4.7966E-3	9.0000E-2
-1.9953E-1	-5.7519E-3	1.2000E-1
-2.3265E-1	-6.7122E-3	1.4000E-1
-2.6566E-1	-7.6651E-3	1.5000E-1
-2.9890E-1	-8.6176E-3	1.8000E-1
-3.3227E-1	-9.5880E-3	2.0000E-1
-3.6534E-1	-1.0537E-2	2.1000E-1
-3.9855E-1	-1.1488E-2	2.4000E-1
-4.3135E-1	-1.2448E-2	2.6000E-1
-4.6481E-1	-1.3405E-2	2.8000E-1
-4.9816E-1	-1.4367E-2	3.0000E-1
-5.3085E-1	-1.5321E-2	3.2000E-1
-5.6446E-1	-1.6280E-2	3.4000E-1
-5.9752E-1	-1.7247E-2	3.5000E-1
-6.3066E-1	-1.8199E-2	3.8000E-1
-6.6400E-1	-1.9156E-2	4.0000E-1
-6.9667E-1	-2.0109E-2	4.1000E-1
-7.3014E-1	-2.1068E-2	4.4000E-1
-7.6331E-1	-2.2032E-2	4.6000E-1
-7.9625E-1	-2.2990E-2	4.8000E-1
-8.2956E-1	-2.3948E-2	5.0000E-1
-8.6292E-1	-2.4919E-2	5.2000E-1
-8.9591E-1	-2.5869E-2	5.5000E-1
-9.2910E-1	-2.6832E-2	5.6000E-1
-9.6209E-1	-2.7790E-2	5.8000E-1
-9.9537E-1	-2.8749E-2	6.0000E-1
-9.9958E-1	-2.8884E-2	6.1000E-1
-9.9959E-1	-2.8890E-2	6.1000E-1
-9.9958E-1	-2.8893E-2	6.1000E-1
-9.9955E-1	-2.8899E-2	6.1000E-1
-9.9957E-1	-2.8903E-2	6.1000E-1
