2019-06-04	11:25
pokojowa, T = -1
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.8659E-4	7.2093E-6	-0.0000E+0
3.0749E-2	8.8114E-4	-1.0000E-2
6.1280E-2	1.7648E-3	-4.0000E-2
9.1406E-2	2.6347E-3	-6.0000E-2
1.2247E-1	3.5250E-3	-7.0000E-2
1.5307E-1	4.4120E-3	-1.0000E-1
1.8374E-1	5.2982E-3	-1.2000E-1
2.1503E-1	6.1945E-3	-1.4000E-1
2.4555E-1	7.0799E-3	-1.5000E-1
2.7676E-1	7.9761E-3	-1.8000E-1
3.0803E-1	8.8813E-3	-2.0000E-1
3.3897E-1	9.7719E-3	-2.1000E-1
3.7048E-1	1.0675E-2	-2.4000E-1
4.0159E-1	1.1571E-2	-2.6000E-1
4.3297E-1	1.2478E-2	-2.7000E-1
4.6429E-1	1.3377E-2	-3.0000E-1
4.9557E-1	1.4283E-2	-3.2000E-1
5.2722E-1	1.5194E-2	-3.3000E-1
5.5875E-1	1.6096E-2	-3.6000E-1
5.9004E-1	1.7010E-2	-3.8000E-1
6.2145E-1	1.7915E-2	-4.0000E-1
6.5287E-1	1.8819E-2	-4.2000E-1
6.8422E-1	1.9738E-2	-4.4000E-1
7.1632E-1	2.0651E-2	-4.6000E-1
7.4768E-1	2.1560E-2	-4.7000E-1
7.7916E-1	2.2482E-2	-5.0000E-1
8.1126E-1	2.3394E-2	-5.2000E-1
8.4265E-1	2.4312E-2	-5.3000E-1
8.7429E-1	2.5233E-2	-5.6000E-1
9.0618E-1	2.6148E-2	-5.9000E-1
9.3776E-1	2.7073E-2	-6.0000E-1
9.6976E-1	2.7998E-2	-6.2000E-1
9.9960E-1	2.8857E-2	-6.4000E-1
9.9957E-1	2.8862E-2	-6.4000E-1
9.9954E-1	2.8867E-2	-6.4000E-1
9.9956E-1	2.8874E-2	-6.4000E-1
-3.4794E-4	-1.0150E-5	0.0000E+0
-3.3482E-2	-9.7348E-4	2.0000E-2
-6.6872E-2	-1.9235E-3	4.0000E-2
-9.9778E-2	-2.8815E-3	5.0000E-2
-1.3307E-1	-3.8374E-3	7.0000E-2
-1.6601E-1	-4.7874E-3	1.0000E-1
-1.9906E-1	-5.7492E-3	1.2000E-1
-2.3252E-1	-6.7032E-3	1.3000E-1
-2.6528E-1	-7.6567E-3	1.6000E-1
-2.9833E-1	-8.6188E-3	1.8000E-1
-3.3201E-1	-9.5746E-3	1.9000E-1
-3.6497E-1	-1.0530E-2	2.2000E-1
-3.9798E-1	-1.1492E-2	2.4000E-1
-4.3126E-1	-1.2443E-2	2.5000E-1
-4.6429E-1	-1.3403E-2	2.8000E-1
-4.9776E-1	-1.4365E-2	3.0000E-1
-5.3080E-1	-1.5315E-2	3.2000E-1
-5.6408E-1	-1.6280E-2	3.4000E-1
-5.9727E-1	-1.7236E-2	3.6000E-1
-6.3042E-1	-1.8191E-2	3.8000E-1
-6.6346E-1	-1.9152E-2	4.0000E-1
-6.9659E-1	-2.0099E-2	4.2000E-1
-7.2985E-1	-2.1065E-2	4.4000E-1
-7.6295E-1	-2.2022E-2	4.6000E-1
-7.9605E-1	-2.2984E-2	4.8000E-1
-8.2928E-1	-2.3948E-2	5.0000E-1
-8.6252E-1	-2.4909E-2	5.1000E-1
-8.9539E-1	-2.5866E-2	5.4000E-1
-9.2871E-1	-2.6826E-2	5.6000E-1
-9.6150E-1	-2.7782E-2	5.9000E-1
-9.9479E-1	-2.8749E-2	6.0000E-1
-9.9958E-1	-2.8888E-2	6.0000E-1
-9.9956E-1	-2.8892E-2	6.0000E-1
-9.9956E-1	-2.8899E-2	6.0000E-1
-9.9955E-1	-2.8902E-2	6.1000E-1
-9.9958E-1	-2.8906E-2	6.1000E-1
