2019-06-04	11:23
Pokojowa, T=-15
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.2016E-4	1.9075E-6	-0.0000E+0
2.2959E-2	6.6758E-4	-2.0000E-2
4.6664E-2	1.3577E-3	-4.0000E-2
7.1196E-2	2.0676E-3	-5.0000E-2
9.6750E-2	2.8068E-3	-8.0000E-2
1.2260E-1	3.5522E-3	-1.0000E-1
1.4912E-1	4.3156E-3	-1.1000E-1
1.7620E-1	5.1091E-3	-1.4000E-1
2.0398E-1	5.9121E-3	-1.6000E-1
2.3251E-1	6.7321E-3	-1.7000E-1
2.6103E-1	7.5548E-3	-2.0000E-1
2.8989E-1	8.3839E-3	-2.2000E-1
3.1914E-1	9.2403E-3	-2.4000E-1
3.4885E-1	1.0098E-2	-2.5000E-1
3.7921E-1	1.0965E-2	-2.8000E-1
4.0973E-1	1.1853E-2	-3.0000E-1
4.4071E-1	1.2745E-2	-3.1000E-1
4.7195E-1	1.3643E-2	-3.4000E-1
5.0345E-1	1.4558E-2	-3.6000E-1
5.3514E-1	1.5466E-2	-3.7000E-1
5.6705E-1	1.6399E-2	-4.0000E-1
5.9906E-1	1.7321E-2	-4.2000E-1
6.3194E-1	1.8264E-2	-4.3000E-1
6.6430E-1	1.9209E-2	-4.6000E-1
6.9683E-1	2.0148E-2	-4.8000E-1
7.2973E-1	2.1093E-2	-5.0000E-1
7.6271E-1	2.2046E-2	-5.2000E-1
7.9521E-1	2.2984E-2	-5.4000E-1
8.2797E-1	2.3936E-2	-5.6000E-1
8.6068E-1	2.4879E-2	-5.8000E-1
8.9357E-1	2.5834E-2	-6.0000E-1
9.2697E-1	2.6794E-2	-6.3000E-1
9.5959E-1	2.7750E-2	-6.5000E-1
9.9270E-1	2.8708E-2	-6.6000E-1
9.9957E-1	2.8887E-2	-6.7000E-1
9.9955E-1	2.8892E-2	-6.7000E-1
-3.7386E-4	-9.2878E-6	0.0000E+0
-3.3543E-2	-9.6946E-4	1.0000E-2
-6.6874E-2	-1.9346E-3	3.0000E-2
-9.9919E-2	-2.8826E-3	6.0000E-2
-1.3316E-1	-3.8385E-3	8.0000E-2
-1.6611E-1	-4.7968E-3	9.0000E-2
-1.9934E-1	-5.7532E-3	1.2000E-1
-2.3267E-1	-6.7099E-3	1.4000E-1
-2.6546E-1	-7.6669E-3	1.5000E-1
-2.9877E-1	-8.6192E-3	1.8000E-1
-3.3207E-1	-9.5865E-3	2.0000E-1
-3.6481E-1	-1.0539E-2	2.1000E-1
-3.9833E-1	-1.1499E-2	2.4000E-1
-4.3103E-1	-1.2446E-2	2.6000E-1
-4.6445E-1	-1.3415E-2	2.7000E-1
-4.9795E-1	-1.4377E-2	3.0000E-1
-5.3073E-1	-1.5322E-2	3.2000E-1
-5.6421E-1	-1.6290E-2	3.4000E-1
-5.9750E-1	-1.7246E-2	3.5000E-1
-6.3041E-1	-1.8200E-2	3.8000E-1
-6.6356E-1	-1.9158E-2	4.1000E-1
-6.9674E-1	-2.0110E-2	4.1000E-1
-7.2977E-1	-2.1074E-2	4.4000E-1
-7.6324E-1	-2.2034E-2	4.6000E-1
-7.9611E-1	-2.2993E-2	4.8000E-1
-8.2927E-1	-2.3944E-2	5.0000E-1
-8.6236E-1	-2.4920E-2	5.2000E-1
-8.9549E-1	-2.5871E-2	5.4000E-1
-9.2870E-1	-2.6835E-2	5.6000E-1
-9.6154E-1	-2.7789E-2	5.8000E-1
-9.9493E-1	-2.8757E-2	6.0000E-1
