2019-06-04	11:31
pokojowa B=5T
 Prad (A)	U 4-5 (V)	Napiecie (V)
1.1948E-4	5.5698E-6	-0.0000E+0
3.1551E-2	9.1050E-4	-2.0000E-2
6.2832E-2	1.8106E-3	-4.0000E-2
9.4190E-2	2.7144E-3	-5.0000E-2
1.2562E-1	3.6273E-3	-8.0000E-2
1.5722E-1	4.5275E-3	-1.0000E-1
1.8870E-1	5.4456E-3	-1.1000E-1
2.2055E-1	6.3553E-3	-1.4000E-1
2.5205E-1	7.2632E-3	-1.6000E-1
2.8397E-1	8.1820E-3	-1.7000E-1
3.1595E-1	9.1023E-3	-1.9000E-1
3.4750E-1	1.0005E-2	-2.2000E-1
3.7914E-1	1.0931E-2	-2.4000E-1
4.1103E-1	1.1837E-2	-2.5000E-1
4.4282E-1	1.2771E-2	-2.8000E-1
4.7493E-1	1.3691E-2	-3.0000E-1
5.0669E-1	1.4606E-2	-3.1000E-1
5.3879E-1	1.5534E-2	-3.4000E-1
5.7081E-1	1.6457E-2	-3.6000E-1
6.0261E-1	1.7373E-2	-3.7000E-1
6.3457E-1	1.8302E-2	-4.0000E-1
6.6658E-1	1.9220E-2	-4.2000E-1
6.9873E-1	2.0150E-2	-4.4000E-1
7.3084E-1	2.1083E-2	-4.6000E-1
7.6277E-1	2.2000E-2	-4.8000E-1
7.9495E-1	2.2933E-2	-5.0000E-1
8.2727E-1	2.3863E-2	-5.1000E-1
8.5913E-1	2.4789E-2	-5.4000E-1
8.9141E-1	2.5721E-2	-5.6000E-1
9.2313E-1	2.6655E-2	-5.8000E-1
9.5543E-1	2.7584E-2	-6.0000E-1
9.8786E-1	2.8529E-2	-6.2000E-1
9.9958E-1	2.8866E-2	-6.3000E-1
9.9958E-1	2.8872E-2	-6.3000E-1
9.9957E-1	2.8877E-2	-6.3000E-1
9.9957E-1	2.8883E-2	-6.3000E-1
-3.9347E-4	-7.4453E-6	0.0000E+0
-3.3331E-2	-9.6984E-4	2.0000E-2
-6.6823E-2	-1.9334E-3	3.0000E-2
-9.9875E-2	-2.8786E-3	6.0000E-2
-1.3296E-1	-3.8427E-3	8.0000E-2
-1.6594E-1	-4.7953E-3	9.0000E-2
-1.9924E-1	-5.7439E-3	1.2000E-1
-2.3237E-1	-6.7133E-3	1.4000E-1
-2.6519E-1	-7.6605E-3	1.6000E-1
-2.9857E-1	-8.6138E-3	1.7000E-1
-3.3183E-1	-9.5811E-3	2.0000E-1
-3.6491E-1	-1.0535E-2	2.2000E-1
-3.9810E-1	-1.1492E-2	2.3000E-1
-4.3103E-1	-1.2446E-2	2.6000E-1
-4.6447E-1	-1.3406E-2	2.8000E-1
-4.9781E-1	-1.4360E-2	2.9000E-1
-5.3064E-1	-1.5318E-2	3.2000E-1
-5.6398E-1	-1.6282E-2	3.4000E-1
-5.9711E-1	-1.7232E-2	3.6000E-1
-6.3010E-1	-1.8193E-2	3.8000E-1
-6.6343E-1	-1.9146E-2	4.0000E-1
-6.9632E-1	-2.0097E-2	4.2000E-1
-7.2931E-1	-2.1067E-2	4.3000E-1
-7.6289E-1	-2.2025E-2	4.6000E-1
-7.9564E-1	-2.2980E-2	4.8000E-1
-8.2876E-1	-2.3943E-2	5.0000E-1
-8.6228E-1	-2.4904E-2	5.2000E-1
-8.9517E-1	-2.5860E-2	5.4000E-1
-9.2809E-1	-2.6825E-2	5.7000E-1
-9.6133E-1	-2.7777E-2	5.8000E-1
-9.9454E-1	-2.8743E-2	6.0000E-1
-9.9957E-1	-2.8899E-2	6.1000E-1
-9.9957E-1	-2.8903E-2	6.1000E-1
-9.9960E-1	-2.8908E-2	6.1000E-1
-9.9955E-1	-2.8913E-2	6.1000E-1
-9.9957E-1	-2.8916E-2	6.1000E-1
