2019-06-04	11:07
Pokojowa, +-
 Prad (A)	U 4-5 (V)	Napiecie (V)
-3.5858E-5	-1.9237E-6	-0.0000E+0
1.6570E-2	4.8369E-4	-1.0000E-2
3.2753E-2	9.4797E-4	-1.0000E-2
4.8922E-2	1.4193E-3	-3.0000E-2
6.5659E-2	1.8907E-3	-4.0000E-2
8.1748E-2	2.3622E-3	-4.0000E-2
9.7962E-2	2.8248E-3	-6.0000E-2
1.1447E-1	3.3047E-3	-7.0000E-2
1.3043E-1	3.7789E-3	-7.0000E-2
1.4690E-1	4.2404E-3	-8.0000E-2
1.6313E-1	4.7099E-3	-1.0000E-1
1.7972E-1	5.1899E-3	-1.1000E-1
1.9569E-1	5.6557E-3	-1.1000E-1
2.1212E-1	6.1266E-3	-1.3000E-1
2.2864E-1	6.5973E-3	-1.4000E-1
2.4452E-1	7.0721E-3	-1.4000E-1
2.6111E-1	7.5424E-3	-1.6000E-1
2.7736E-1	8.0224E-3	-1.7000E-1
2.9389E-1	8.4939E-3	-1.8000E-1
3.1011E-1	8.9586E-3	-1.8000E-1
3.2661E-1	9.4437E-3	-2.0000E-1
3.4302E-1	9.9112E-3	-2.1000E-1
3.5919E-1	1.0374E-2	-2.2000E-1
3.7584E-1	1.0856E-2	-2.3000E-1
3.9199E-1	1.1328E-2	-2.4000E-1
4.0821E-1	1.1793E-2	-2.4000E-1
4.2463E-1	1.2265E-2	-2.6000E-1
4.4090E-1	1.2744E-2	-2.7000E-1
4.5740E-1	1.3215E-2	-2.8000E-1
4.7371E-1	1.3685E-2	-2.9000E-1
4.8986E-1	1.4165E-2	-3.0000E-1
5.0649E-1	1.4627E-2	-3.1000E-1
5.2255E-1	1.5105E-2	-3.2000E-1
5.3922E-1	1.5588E-2	-3.3000E-1
5.5568E-1	1.6056E-2	-3.4000E-1
5.7163E-1	1.6528E-2	-3.5000E-1
5.8841E-1	1.7007E-2	-3.6000E-1
6.0465E-1	1.7473E-2	-3.7000E-1
6.2099E-1	1.7950E-2	-3.8000E-1
6.3754E-1	1.8427E-2	-3.9000E-1
6.5373E-1	1.8898E-2	-4.0000E-1
6.7013E-1	1.9367E-2	-4.1000E-1
6.8617E-1	1.9842E-2	-4.2000E-1
7.0282E-1	2.0317E-2	-4.3000E-1
7.1907E-1	2.0794E-2	-4.4000E-1
7.3514E-1	2.1261E-2	-4.5000E-1
7.5199E-1	2.1747E-2	-4.6000E-1
7.6798E-1	2.2219E-2	-4.7000E-1
7.8442E-1	2.2693E-2	-4.8000E-1
8.0112E-1	2.3172E-2	-4.9000E-1
8.1706E-1	2.3646E-2	-5.0000E-1
8.3355E-1	2.4120E-2	-5.1000E-1
8.5014E-1	2.4601E-2	-5.2000E-1
8.6633E-1	2.5074E-2	-5.3000E-1
8.8272E-1	2.5546E-2	-5.4000E-1
8.9907E-1	2.6023E-2	-5.5000E-1
9.1549E-1	2.6505E-2	-5.6000E-1
9.3177E-1	2.6974E-2	-5.7000E-1
9.4801E-1	2.7451E-2	-5.9000E-1
9.6449E-1	2.7938E-2	-5.9000E-1
9.8086E-1	2.8407E-2	-6.0000E-1
9.9688E-1	2.8886E-2	-6.1000E-1
9.9950E-1	2.8958E-2	-6.2000E-1
9.9950E-1	2.8961E-2	-6.2000E-1
9.9949E-1	2.8966E-2	-6.2000E-1
9.9948E-1	2.8971E-2	-6.2000E-1
9.9948E-1	2.8972E-2	-6.1000E-1
9.9949E-1	2.8977E-2	-6.2000E-1
9.9949E-1	2.8980E-2	-6.2000E-1
9.9947E-1	2.8983E-2	-6.2000E-1
9.9950E-1	2.8986E-2	-6.1000E-1
9.9947E-1	2.8990E-2	-6.2000E-1
9.9949E-1	2.8993E-2	-6.2000E-1
9.9950E-1	2.8994E-2	-6.2000E-1
9.9949E-1	2.8999E-2	-6.1000E-1
9.9949E-1	2.9001E-2	-6.2000E-1
9.9951E-1	2.9004E-2	-6.2000E-1
9.9948E-1	2.9006E-2	-6.1000E-1
9.9951E-1	2.9009E-2	-6.2000E-1
9.9947E-1	2.9011E-2	-6.1000E-1
9.9946E-1	2.9014E-2	-6.2000E-1
9.9951E-1	2.9016E-2	-6.2000E-1
9.9948E-1	2.9019E-2	-6.1000E-1
9.9947E-1	2.9021E-2	-6.1000E-1
9.9948E-1	2.9023E-2	-6.2000E-1
9.9947E-1	2.9026E-2	-6.2000E-1
9.9948E-1	2.9028E-2	-6.2000E-1
9.9950E-1	2.9030E-2	-6.2000E-1
9.9947E-1	2.9032E-2	-6.2000E-1
9.9949E-1	2.9034E-2	-6.2000E-1
9.9949E-1	2.9035E-2	-6.2000E-1
9.9947E-1	2.9036E-2	-6.2000E-1
9.9951E-1	2.9039E-2	-6.2000E-1
9.9947E-1	2.9041E-2	-6.2000E-1
9.9946E-1	2.9042E-2	-6.1000E-1
9.9949E-1	2.9045E-2	-6.2000E-1
9.9947E-1	2.9046E-2	-6.2000E-1
9.9947E-1	2.9049E-2	-6.2000E-1
9.9948E-1	2.9049E-2	-6.2000E-1
9.9948E-1	2.9052E-2	-6.1000E-1
9.9948E-1	2.9052E-2	-6.1000E-1
-1.6607E-4	-5.6023E-7	0.0000E+0
-1.6640E-1	-4.8182E-3	1.0000E-1
-3.3269E-1	-9.6330E-3	2.0000E-1
-4.9906E-1	-1.4450E-2	2.7000E-1
-6.6516E-1	-1.9260E-2	4.0000E-1
-8.3150E-1	-2.4074E-2	5.0000E-1
-9.9760E-1	-2.8888E-2	5.6000E-1
-9.9953E-1	-2.8950E-2	6.1000E-1
-9.9951E-1	-2.8955E-2	6.0000E-1
-9.9951E-1	-2.8959E-2	6.1000E-1
-9.9949E-1	-2.8963E-2	6.0000E-1
1.2038E-4	1.0681E-6	-0.0000E+0
7.7972E-2	2.2376E-3	-5.0000E-2
1.5555E-1	4.4833E-3	-8.0000E-2
2.3348E-1	6.7343E-3	-1.5000E-1
3.1222E-1	8.9956E-3	-2.0000E-1
3.9033E-1	1.1247E-2	-2.2000E-1
4.6922E-1	1.3518E-2	-2.9000E-1
5.4781E-1	1.5780E-2	-3.5000E-1
6.2648E-1	1.8056E-2	-4.0000E-1
7.0543E-1	2.0331E-2	-4.4000E-1
7.8479E-1	2.2611E-2	-5.0000E-1
8.6392E-1	2.4901E-2	-5.6000E-1
9.4297E-1	2.7184E-2	-5.8000E-1
9.9961E-1	2.8816E-2	-6.3000E-1
9.9957E-1	2.8822E-2	-6.4000E-1
9.9960E-1	2.8830E-2	-6.4000E-1
9.9958E-1	2.8834E-2	-6.4000E-1
9.9957E-1	2.8841E-2	-6.4000E-1
9.9958E-1	2.8846E-2	-6.4000E-1
