2019-06-04	11:18
pokojowa, B=1.5 T
 Prad (A)	U 4-5 (V)	Napiecie (V)
9.1362E-5	8.3869E-6	-0.0000E+0
3.0772E-2	8.8027E-4	-2.0000E-2
6.1345E-2	1.7737E-3	-4.0000E-2
9.1831E-2	2.6506E-3	-5.0000E-2
1.2296E-1	3.5412E-3	-7.0000E-2
1.5371E-1	4.4294E-3	-1.0000E-1
1.8485E-1	5.3207E-3	-1.2000E-1
2.1604E-1	6.2229E-3	-1.3000E-1
2.4704E-1	7.1111E-3	-1.6000E-1
2.7829E-1	8.0145E-3	-1.8000E-1
3.0965E-1	8.9212E-3	-1.9000E-1
3.4077E-1	9.8077E-3	-2.2000E-1
3.7226E-1	1.0722E-2	-2.4000E-1
4.0352E-1	1.1617E-2	-2.5000E-1
4.3499E-1	1.2521E-2	-2.8000E-1
4.6638E-1	1.3439E-2	-3.0000E-1
4.9780E-1	1.4332E-2	-3.2000E-1
5.2951E-1	1.5251E-2	-3.4000E-1
5.6101E-1	1.6163E-2	-3.6000E-1
5.9254E-1	1.7067E-2	-3.8000E-1
6.2400E-1	1.7983E-2	-4.0000E-1
6.5539E-1	1.8887E-2	-4.2000E-1
6.8720E-1	1.9801E-2	-4.4000E-1
7.1909E-1	2.0721E-2	-4.6000E-1
7.5027E-1	2.1629E-2	-4.8000E-1
7.8230E-1	2.2553E-2	-5.0000E-1
8.1421E-1	2.3462E-2	-5.1000E-1
8.4559E-1	2.4381E-2	-5.4000E-1
8.7753E-1	2.5301E-2	-5.6000E-1
9.0896E-1	2.6206E-2	-5.8000E-1
9.4072E-1	2.7141E-2	-6.0000E-1
9.7270E-1	2.8060E-2	-6.2000E-1
9.9958E-1	2.8839E-2	-6.4000E-1
9.9958E-1	2.8845E-2	-6.4000E-1
9.9958E-1	2.8851E-2	-6.4000E-1
9.9958E-1	2.8856E-2	-6.4000E-1
9.9956E-1	2.8861E-2	-6.4000E-1
9.9958E-1	2.8866E-2	-6.4000E-1
9.9955E-1	2.8870E-2	-6.4000E-1
9.9956E-1	2.8876E-2	-6.4000E-1
9.9954E-1	2.8880E-2	-6.4000E-1
9.9957E-1	2.8885E-2	-6.4000E-1
9.9956E-1	2.8888E-2	-6.4000E-1
9.9956E-1	2.8891E-2	-6.4000E-1
9.9961E-1	2.8896E-2	-6.4000E-1
9.9957E-1	2.8900E-2	-6.4000E-1
9.9957E-1	2.8904E-2	-6.4000E-1
9.9955E-1	2.8907E-2	-6.4000E-1
9.9954E-1	2.8912E-2	-6.4000E-1
9.9957E-1	2.8914E-2	-6.4000E-1
9.9955E-1	2.8919E-2	-6.4000E-1
-4.1567E-4	-1.2437E-5	0.0000E+0
-3.3490E-2	-9.7125E-4	2.0000E-2
-6.7061E-2	-1.9415E-3	4.0000E-2
-1.0005E-1	-2.8893E-3	6.0000E-2
-1.3318E-1	-3.8524E-3	8.0000E-2
-1.6635E-1	-4.8047E-3	1.0000E-1
-1.9953E-1	-5.7657E-3	1.2000E-1
-2.3282E-1	-6.7241E-3	1.3000E-1
-2.6580E-1	-7.6779E-3	1.6000E-1
-2.9908E-1	-8.6412E-3	1.8000E-1
-3.3256E-1	-9.5962E-3	1.9000E-1
-3.6538E-1	-1.0552E-2	2.2000E-1
-3.9870E-1	-1.1508E-2	2.4000E-1
-4.3167E-1	-1.2455E-2	2.6000E-1
-4.6485E-1	-1.3425E-2	2.8000E-1
-4.9836E-1	-1.4380E-2	3.0000E-1
-5.3123E-1	-1.5338E-2	3.2000E-1
-5.6453E-1	-1.6304E-2	3.3000E-1
-5.9802E-1	-1.7265E-2	3.6000E-1
-6.3077E-1	-1.8215E-2	3.8000E-1
-6.6420E-1	-1.9178E-2	4.0000E-1
-6.9708E-1	-2.0127E-2	4.2000E-1
-7.3039E-1	-2.1092E-2	4.4000E-1
-7.6382E-1	-2.2057E-2	4.6000E-1
-7.9657E-1	-2.3006E-2	4.8000E-1
-8.3013E-1	-2.3970E-2	5.0000E-1
-8.6325E-1	-2.4938E-2	5.3000E-1
-8.9635E-1	-2.5888E-2	5.4000E-1
-9.2951E-1	-2.6848E-2	5.6000E-1
-9.6220E-1	-2.7809E-2	5.8000E-1
-9.9574E-1	-2.8772E-2	6.0000E-1
-9.9961E-1	-2.8895E-2	6.1000E-1
-9.9956E-1	-2.8901E-2	6.1000E-1
-9.9959E-1	-2.8905E-2	6.1000E-1
-9.9957E-1	-2.8908E-2	6.1000E-1
-9.9956E-1	-2.8912E-2	6.1000E-1
-9.9957E-1	-2.8916E-2	6.1000E-1
-9.9958E-1	-2.8919E-2	6.1000E-1
-9.9958E-1	-2.8924E-2	6.0000E-1
-9.9955E-1	-2.8927E-2	6.0000E-1
-9.9958E-1	-2.8930E-2	6.1000E-1
-9.9957E-1	-2.8935E-2	6.1000E-1
-9.9955E-1	-2.8937E-2	6.1000E-1
-9.9956E-1	-2.8940E-2	6.0000E-1
-9.9954E-1	-2.8944E-2	6.1000E-1
-9.9956E-1	-2.8946E-2	6.1000E-1
-9.9958E-1	-2.8949E-2	6.1000E-1
-9.9956E-1	-2.8952E-2	6.1000E-1
-9.9957E-1	-2.8955E-2	6.1000E-1
-9.9958E-1	-2.8956E-2	6.1000E-1
-9.9956E-1	-2.8961E-2	6.1000E-1
