2019-06-04	11:33
B=1T
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.4039E-4	4.1049E-6	-0.0000E+0
2.2227E-2	6.4622E-4	-1.0000E-2
4.5494E-2	1.3192E-3	-4.0000E-2
6.9375E-2	2.0134E-3	-6.0000E-2
9.4542E-2	2.7377E-3	-7.0000E-2
1.1977E-1	3.4719E-3	-1.0000E-1
1.4617E-1	4.2288E-3	-1.2000E-1
1.7267E-1	4.9869E-3	-1.4000E-1
1.9954E-1	5.7664E-3	-1.6000E-1
2.2697E-1	6.5623E-3	-1.8000E-1
2.5498E-1	7.3627E-3	-1.9000E-1
2.8321E-1	8.1878E-3	-2.2000E-1
3.1206E-1	9.0170E-3	-2.4000E-1
3.4112E-1	9.8488E-3	-2.5000E-1
3.7092E-1	1.0717E-2	-2.8000E-1
4.0105E-1	1.1588E-2	-3.0000E-1
4.3131E-1	1.2457E-2	-3.2000E-1
4.6186E-1	1.3347E-2	-3.3000E-1
4.9312E-1	1.4241E-2	-3.6000E-1
5.2415E-1	1.5141E-2	-3.8000E-1
5.5548E-1	1.6049E-2	-3.9000E-1
5.8709E-1	1.6956E-2	-4.2000E-1
6.1878E-1	1.7874E-2	-4.4000E-1
6.5109E-1	1.8812E-2	-4.5000E-1
6.8325E-1	1.9735E-2	-4.8000E-1
7.1562E-1	2.0668E-2	-5.0000E-1
7.4786E-1	2.1602E-2	-5.2000E-1
7.8027E-1	2.2534E-2	-5.4000E-1
8.1282E-1	2.3488E-2	-5.6000E-1
8.4564E-1	2.4423E-2	-5.8000E-1
8.7835E-1	2.5372E-2	-6.0000E-1
9.1084E-1	2.6329E-2	-6.2000E-1
9.4365E-1	2.7266E-2	-6.4000E-1
9.7628E-1	2.8218E-2	-6.6000E-1
9.9957E-1	2.8872E-2	-6.7000E-1
9.9958E-1	2.8876E-2	-6.8000E-1
-1.7097E-4	-5.9185E-6	0.0000E+0
-3.3589E-2	-9.7347E-4	2.0000E-2
-6.6693E-2	-1.9235E-3	3.0000E-2
-9.9646E-2	-2.8820E-3	6.0000E-2
-1.3292E-1	-3.8431E-3	8.0000E-2
-1.6577E-1	-4.7874E-3	9.0000E-2
-1.9910E-1	-5.7510E-3	1.1000E-1
-2.3215E-1	-6.7073E-3	1.4000E-1
-2.6514E-1	-7.6550E-3	1.6000E-1
-2.9835E-1	-8.6146E-3	1.7000E-1
-3.3174E-1	-9.5759E-3	2.0000E-1
-3.6471E-1	-1.0526E-2	2.2000E-1
-3.9782E-1	-1.1485E-2	2.3000E-1
-4.3093E-1	-1.2438E-2	2.6000E-1
-4.6416E-1	-1.3396E-2	2.8000E-1
-4.9731E-1	-1.4351E-2	3.0000E-1
-5.3013E-1	-1.5308E-2	3.2000E-1
-5.6352E-1	-1.6266E-2	3.4000E-1
-5.9680E-1	-1.7224E-2	3.6000E-1
-6.2979E-1	-1.8183E-2	3.7000E-1
-6.6292E-1	-1.9142E-2	4.0000E-1
-6.9569E-1	-2.0085E-2	4.2000E-1
-7.2897E-1	-2.1055E-2	4.3000E-1
-7.6225E-1	-2.2011E-2	4.6000E-1
-7.9524E-1	-2.2968E-2	4.8000E-1
-8.2824E-1	-2.3936E-2	5.0000E-1
-8.6182E-1	-2.4892E-2	5.2000E-1
-8.9448E-1	-2.5850E-2	5.4000E-1
-9.2776E-1	-2.6814E-2	5.6000E-1
-9.6072E-1	-2.7765E-2	5.8000E-1
-9.9371E-1	-2.8732E-2	6.0000E-1
-9.9956E-1	-2.8901E-2	6.1000E-1
-9.9958E-1	-2.8905E-2	6.1000E-1
-9.9958E-1	-2.8909E-2	6.1000E-1
-9.9955E-1	-2.8915E-2	6.1000E-1
-9.9958E-1	-2.8919E-2	6.1000E-1
