Nazwa próbki: próbka 1	Pole magn. (T) 0
notatka: 
U_T_1	I+	U_4-5+	U_T_2	I-	U_4-5-	U_T_1
V	A	V	V	A	V	V
Nazwa próbki: próbka 1	Pole magn. (T) 0
notatka: 
U_T_1	I+	U_4-5+	U_T_2	I-	U_4-5-	U_T_1
V	A	V	V	A	V	V
-8.04257723E-06	-9.950750E-2	-4.64554897E-07	-8.85954294E-06	9.952288E-3	-3.12424337E-07	-7.83411046E-06	12:44:24
-8.84827287E-06	-9.953922E-2	-6.50491452E-07	-9.28210932E-06	9.952933E-3	-2.67360452E-07	-9.16379186E-06	12:44:54
-9.16379145E-06	-9.950614E-2	-9.26561025E-07	-9.04547309E-06	9.951077E-3	-1.82835995E-07	-9.83426862E-06	12:44:56
-9.52438309E-06	-9.952334E-2	-1.71566665E-07	-9.78355940E-06	9.952330E-3	-5.43424815E-07	-9.46804289E-06	12:45:02
-8.41443824E-06	-9.951288E-2	-9.37816028E-07	-9.89624584E-06	9.950301E-3	-4.64545814E-07	-9.85680454E-06	12:45:05
-8.67361096E-06	-9.951554E-2	-2.84273246E-07	-8.71305149E-06	9.949424E-3	-1.20874066E-07	-9.71031083E-06	12:45:09
+1.26514980E-06	-9.952384E-2	-1.07868863E-06	+5.77773045E-07	9.950732E-3	-1.01670951E-06	+9.55259405E-07	12:47:15
+1.15306748E-05	-9.953157E-2	-2.12101845E-06	+1.33279901E-05	9.952581E-3	-1.63647297E-06	+1.41055125E-05	12:47:25
+2.54697181E-05	-9.953336E-2	-2.17735706E-06	+2.78135443E-05	9.954103E-3	-2.25623900E-06	+2.97630006E-05	12:47:31
+4.02031049E-05	-9.951757E-2	-3.06194316E-06	+4.47668072E-05	9.950169E-3	-2.66754918E-06	+4.77078578E-05	12:47:36
+5.83622235E-05	-9.955178E-2	-3.60282160E-06	+6.71064836E-05	9.951828E-3	-3.88453101E-06	+7.38280931E-05	12:47:41
+8.50740152E-05	-9.952575E-2	-3.69860020E-06	+9.62299476E-05	9.951355E-3	-5.42829818E-06	+1.04529043E-04	12:47:44
+1.14912887E-04	-9.956184E-2	-4.75219494E-06	+1.24738974E-04	9.952382E-3	-4.42541063E-06	+1.32531078E-04	12:47:47
+1.44982657E-04	-9.955210E-2	-5.35505718E-06	+1.53422652E-04	9.950877E-3	-4.38033873E-06	+1.61057120E-04	12:47:50
+1.74590579E-04	-9.950418E-2	-5.42829994E-06	+1.84185467E-04	9.952991E-3	-5.67620716E-06	+1.90214108E-04	12:47:54
+2.02248956E-04	-9.952814E-2	-6.59458255E-06	+2.12931262E-04	9.951415E-3	-6.37484927E-06	+2.18993688E-04	12:47:57
+2.31670732E-04	-9.956217E-2	-5.81706168E-06	+2.41468481E-04	9.951243E-3	-5.87340485E-06	+2.48077147E-04	12:48:00
+2.60754390E-04	-9.956127E-2	-5.98609018E-06	+2.70213970E-04	9.952739E-3	-6.37485096E-06	+2.77538782E-04	12:48:03
+2.90418734E-04	-9.953109E-2	-4.91558671E-06	+3.00830872E-04	9.952156E-3	-5.10151610E-06	+3.07456410E-04	12:48:07
+3.20149995E-04	-9.952289E-2	-5.87904045E-06	+3.29722735E-04	9.953152E-3	-6.30723904E-06	+3.37469892E-04	12:48:10
+3.50152555E-04	-9.954508E-2	-7.06785664E-06	+3.59736698E-04	9.953639E-3	-6.05933159E-06	+3.66779511E-04	12:48:13
+3.77816908E-04	-9.955369E-2	-6.16638102E-06	+3.87124492E-04	9.952267E-3	-7.04532009E-06	+3.95147710E-04	12:48:16
+4.09334658E-04	-9.956516E-2	-6.80868346E-06	+4.19166085E-04	9.952493E-3	-5.25364164E-06	+4.27245132E-04	12:48:20
+4.40682430E-04	-9.954691E-2	-6.54951155E-06	+4.52413053E-04	9.950442E-3	-6.66219521E-06	+4.59264265E-04	12:48:23
+4.73068231E-04	-9.954259E-2	-8.66797725E-06	+4.82641501E-04	9.950940E-3	-5.20293227E-06	+4.91193539E-04	12:48:26
+5.05166230E-04	-9.956462E-2	-1.24034723E-05	+5.16445971E-04	9.952901E-3	+5.94666225E-07	+5.24401414E-04	12:48:29
+5.34683112E-04	-9.955112E-2	-2.31704931E-05	+5.45496143E-04	9.950853E-3	+1.37223806E-05	+5.53480096E-04	12:48:32
+5.62996472E-04	-9.956563E-2	-4.19381710E-05	+5.74192260E-04	9.954586E-3	+4.14597258E-05	+5.82626546E-04	12:48:35
+5.96238455E-04	-9.957134E-2	-8.81276535E-05	+6.08053384E-04	9.953974E-3	+9.71425477E-05	+6.14532298E-04	12:48:39
+6.25316383E-04	-9.954978E-2	-1.54521514E-04	+6.37739167E-04	9.950805E-3	+1.76162235E-04	+6.44556597E-04	12:48:42
+6.55520445E-04	-9.954519E-2	-2.55712306E-04	+6.67363570E-04	9.952649E-3	+2.91967643E-04	+6.75561352E-04	12:48:44
+6.87477595E-04	-9.951559E-2	-3.94167929E-04	+6.97962501E-04	9.951954E-3	+4.52007514E-04	+7.06701553E-04	12:48:47
+7.18731158E-04	-9.953444E-2	-5.71849629E-04	+7.29814481E-04	9.955095E-3	+6.54372392E-04	+7.37860314E-04	12:48:50
