dolna ga³¹Ÿ
Prad (A)	Pole magn. (T)	Czas
-9.591154E+0	1.560000E+0	13:15:27
-8.989110E+0	1.525000E+0	13:15:39
-7.991920E+0	1.449000E+0	13:15:48
-6.996416E+0	1.341000E+0	13:16:21
-5.999044E+0	1.200000E+0	13:16:35
-5.002834E+0	1.018000E+0	13:16:44
-4.004531E+0	8.210000E-1	13:16:53
-3.007526E+0	6.220000E-1	13:17:03
-2.009794E+0	4.200000E-1	13:17:12
-1.013065E+0	2.190000E-1	13:17:19
-2.153092E-2	2.150000E-2	13:17:29
1.000852E+0	-1.894000E-1	13:17:48
1.998654E+0	-3.930000E-1	13:17:59
2.996991E+0	-6.240000E-1	13:18:22
3.994883E+0	-8.010000E-1	13:18:39
4.992706E+0	-9.970000E-1	13:19:00
5.988903E+0	-1.177000E+0	13:19:22
6.988138E+0	-1.322000E+0	13:19:31
7.984119E+0	-1.433000E+0	13:19:42
8.982044E+0	-1.519000E+0	13:19:52
9.654194E+0	-1.565000E+0	13:20:04
