górna ga³¹Ÿ
Prad (A)	Pole magn. (T)	Czas
3.374629E-2	-2.030000E-2	13:03:37
1.006760E+0	-2.060000E-1	13:05:19
2.003704E+0	-4.080000E-1	13:06:28
3.003305E+0	-6.130000E-1	13:07:06
3.999976E+0	-8.100000E-1	13:07:19
4.995368E+0	-1.003000E+0	13:07:30
5.992746E+0	-1.180000E+0	13:07:43
6.990574E+0	-1.323000E+0	13:07:57
7.985172E+0	-1.433000E+0	13:08:19
8.984753E+0	-1.520000E+0	13:08:34
-----------------------------------------------------------------------
9.730771E+0	-1.571000E+0	13:08:55
8.982442E+0	-1.524000E+0	13:09:27
7.986221E+0	-1.446000E+0	13:09:46
6.990185E+0	-1.340000E+0	13:10:09
5.993085E+0	-1.199000E+0	13:10:22
4.995570E+0	-1.014000E+0	13:10:33
3.998535E+0	-8.180000E-1	13:10:45
3.002386E+0	-6.190000E-1	13:10:56
2.001170E+0	-4.190000E-1	13:11:04
1.003335E+0	-2.170000E-1	13:11:16
2.797634E-3	-1.730000E-2	13:11:27
-1.009977E+0	1.896000E-1	13:12:02
-2.007900E+0	3.900000E-1	13:12:12
-3.007918E+0	5.920000E-1	13:12:24
-4.004714E+0	7.880000E-1	13:12:31
-5.003855E+0	9.880000E-1	13:12:40
-5.997249E+0	1.173000E+0	13:12:48
-6.996344E+0	1.326000E+0	13:12:58
-7.993785E+0	1.439000E+0	13:13:12
-8.988651E+0	1.518000E+0	13:13:26
-9.659261E+0	1.564000E+0	13:13:35
